fa_year,disease,general,exposure,mean_hourly,unit_original,mean_temp,mean_adjusted,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,country,continent,cohort,fu,n,male_pct,Outcome,Type.of.ES,Statistical.method,Population,RoB,Note,log.EE,log.SE,alog.EE,alog.SE
"Chen, K. et al. (2020)",Myocardial infarction,y,PM2.5,15,μg/m3,NA,15,7-12,1.0418,1.0028,1.0823,NA,NA,13.2,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.04094998633,0.01946232628,0.03102271692,0.01474418658
"Chen, K. et al. (2020)",Myocardial infarction,y,UFP,8387,particles/cm3,NA,8387,0,0.9944,0.9721,1.02,NA,NA,6528,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,-0.005615738786,0.01227021083,-0.008602541032,0.01879627884
"Chen, K. et al. (2020)",Myocardial infarction,y,UFP,8387,particles/cm3,NA,8387,1,0.9924,0.9685,1.02,NA,NA,6528,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,-0.007629027164,0.01321668965,-0.01168662249,0.02024615449
"Chen, K. et al. (2020)",Myocardial infarction,y,UFP,8387,particles/cm3,NA,8387,2,1.0066,0.975,1.04,NA,NA,6528,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.00657831536,0.01646390845,0.01007707623,0.025220448
"Chen, K. et al. (2020)",Myocardial infarction,y,UFP,8387,particles/cm3,NA,8387,3,1.0181,0.9918,1.05,NA,NA,6528,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.01793814513,0.01454693089,0.02747877624,0.02228390149
"Chen, K. et al. (2020)",Myocardial infarction,y,UFP,8387,particles/cm3,NA,8387,4,0.999,0.9803,1.02,NA,NA,6528,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,-0.001000500334,0.01012736199,-0.001532629187,0.01551372854
"Chen, K. et al. (2020)",Myocardial infarction,y,UFP,8387,particles/cm3,NA,8387,5,0.9866,0.9564,1.02,NA,NA,6528,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,-0.01349059018,0.01642389559,-0.02066573251,0.02515915378
"Chen, K. et al. (2020)",Myocardial infarction,y,UFP,8387,particles/cm3,NA,8387,6,1.0327,1.0027,1.06,NA,NA,6528,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.0321767317,0.01417667004,0.04929033654,0.02171671269
"Chen, K. et al. (2020)",Myocardial infarction,y,UFP,8387,particles/cm3,NA,8387,1-24,1.0077,0.9558,1.0624,NA,NA,6528,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.007670506304,0.02697374811,0.01175016284,0.04132007982
"Chen, K. et al. (2020)",Myocardial infarction,y,UFP,8387,particles/cm3,NA,8387,13-18,0.9904,0.953,1.0294,NA,NA,6528,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,-0.009646377052,0.01967257234,-0.01477692563,0.03013568066
